session_id,agent_id,bead_id,dispatch_ts,reason
5d26a493-397d-46d2-8d29-c61d88742e48,a8a69dc63cc96fbfd,hk-872.18,2026-05-07T22:29:46.558000+00:00,no_commit_in_worktree
5d26a493-397d-46d2-8d29-c61d88742e48,a0fc3174e6df0303c,hk-b3f.24,2026-05-07T22:38:14.040000+00:00,no_commit_in_worktree
5d26a493-397d-46d2-8d29-c61d88742e48,afbc8e383fad33ee5,hk-8i31.49,2026-05-07T22:39:11.827000+00:00,no_commit_in_worktree
ab939582-4be6-4f98-99e9-ba0a4c59321f,ab2baea7bccf343b1,hk-872.47,2026-05-07T06:11:54.706000+00:00,no_commit_in_worktree
ab939582-4be6-4f98-99e9-ba0a4c59321f,a0a670d07458ffeef,hk-872.49,2026-05-07T06:12:02.690000+00:00,no_commit_in_worktree
ab939582-4be6-4f98-99e9-ba0a4c59321f,a028e01953c4a953d,hk-872.52,2026-05-07T06:12:09.634000+00:00,no_commit_in_worktree
ab939582-4be6-4f98-99e9-ba0a4c59321f,a5c109a26316b4f92,hk-b3f.81,2026-05-07T06:12:17.262000+00:00,no_commit_in_worktree
ab939582-4be6-4f98-99e9-ba0a4c59321f,a3d208d29cd67e6fe,hk-b3f.82,2026-05-07T06:12:24.882000+00:00,no_commit_in_worktree
ab939582-4be6-4f98-99e9-ba0a4c59321f,a5e9ff864f5685010,hk-b3f.83,2026-05-07T06:12:34.029000+00:00,no_commit_in_worktree
e3ab8a4d-07ad-45d7-a5b6-f67f1450cd88,a91e6562d0e253cfe,hk-pvcs.8,2026-05-07T05:35:55.155000+00:00,no_commit_in_worktree
e3ab8a4d-07ad-45d7-a5b6-f67f1450cd88,a03500a0806efade2,hk-b3f.66,2026-05-07T05:36:12.675000+00:00,no_commit_in_worktree
e3ab8a4d-07ad-45d7-a5b6-f67f1450cd88,ac8479025aec762c2,hk-b3f.68,2026-05-07T05:36:29.814000+00:00,no_commit_in_worktree
e3ab8a4d-07ad-45d7-a5b6-f67f1450cd88,afa8883e35f01a337,hk-b3f.69,2026-05-07T05:36:41.585000+00:00,no_commit_in_worktree
e3ab8a4d-07ad-45d7-a5b6-f67f1450cd88,a2cb67d88835421bf,hk-b3f.70,2026-05-07T05:36:49.214000+00:00,no_commit_in_worktree
e3ab8a4d-07ad-45d7-a5b6-f67f1450cd88,ad66ee5992ca992d8,hk-b3f.71,2026-05-07T05:37:00.471000+00:00,no_commit_in_worktree
e3ab8a4d-07ad-45d7-a5b6-f67f1450cd88,aa1ad20084ae078d0,hk-b3f.80,2026-05-07T05:37:15.728000+00:00,no_commit_in_worktree
196fb94b-5f6d-4ffb-b5b7-28a8c02c84ab,addabf48ec84e0dd0,hk-pvcs.2,2026-05-07T05:06:44.577000+00:00,no_commit_in_worktree
196fb94b-5f6d-4ffb-b5b7-28a8c02c84ab,a8bc33dab8f07828c,hk-pvcs.4,2026-05-07T05:07:12.906000+00:00,no_commit_in_worktree
196fb94b-5f6d-4ffb-b5b7-28a8c02c84ab,a88da5fe85ac1a3b0,hk-pvcs.5,2026-05-07T05:18:20.304000+00:00,no_commit_in_worktree
196fb94b-5f6d-4ffb-b5b7-28a8c02c84ab,ae8d8dc73076fb311,hk-pvcs.6,2026-05-07T05:18:34.922000+00:00,no_commit_in_worktree
e4002daf-0e47-4d02-a1a6-e2e9d9715b49,a1d7a046957be3a06,hk-pvcs.1,2026-05-06T18:41:05.186000+00:00,no_commit_in_worktree
